2600.5,0.0786
2601.426,0.0785
2602.353,0.0784
2603.279,0.0784
2604.205,0.0783
2605.132,0.0783
2606.058,0.0782
2606.985,0.0782
2607.911,0.0781
2608.837,0.0781
2609.764,0.078
2610.69,0.0779
2611.617,0.0779
2612.543,0.0778
2613.474,0.0345
2614.396,0.0777
2615.322,0.0777
2616.249,0.0776
2617.175,0.0776
2618.101,0.0775
2619.028,0.0775
2619.954,0.0774
2620.881,0.0773
2621.807,0.0773
2622.733,0.0772
2623.46,0.2071
2624.192,0.2936
2625.108,0.3801
2625.65,0.51
2626.405,0.38
2626.795,0.2069
2627.551,0.0769
2628.477,0.0769
2629.403,0.0768
2630.33,0.0768
2631.256,0.0767
2632.183,0.0767
2633.109,0.0766
2634.036,0.0766
2634.962,0.0765
2635.888,0.0765
2636.815,0.0764
2637.741,0.0763
2638.668,0.0763
2639.594,0.0762
2640.52,0.0762
2641.447,0.0761
2642.373,0.0761
2643.3,0.076
2644.226,0.076
2645.152,0.0759
2646.079,0.0758
2647.005,0.0758
2647.932,0.0757
2648.663,0.1623
2649.395,0.2488
2649.931,0.4219
2650.468,0.5951
2651.204,0.6383
2651.741,0.8114
2652.102,0.898
2652.496,0.6815
2652.891,0.4651
2653.1,0.2486
2653.675,0.0754
2654.602,0.0753
2655.528,0.0753
2656.454,0.0752
2657.381,0.0752
2658.307,0.0751
2659.234,0.0751
2660.16,0.075
2661.086,0.075
2662.013,0.0749
2662.939,0.0748
2663.866,0.0748
2664.792,0.0747
2665.718,0.0747
2666.645,0.0746
2667.571,0.0746
2668.498,0.0745
2669.424,0.0745
2670.35,0.0744
2671.277,0.0744
2672.203,0.0743
2673.13,0.0742
2673.866,0.1175
2674.593,0.2473
2674.939,0.4637
2675.29,0.6369
2675.637,0.8533
2675.988,1.0265
2676.734,0.9831
2677.081,1.1995
2677.432,1.3727
2677.783,1.5458
2677.993,1.3294
2678.202,1.1129
2678.411,0.8964
2678.621,0.68
2678.83,0.4635
2679.039,0.2471
2679.429,0.0739
2680.356,0.0738
2681.282,0.0738
2682.208,0.0737
2683.135,0.0736
2684.061,0.0736
2684.988,0.0735
2685.914,0.0735
2686.84,0.0734
2687.767,0.0734
2688.693,0.0733
2689.62,0.0733
2690.546,0.0732
2691.472,0.0732
2692.399,0.0731
2693.325,0.073
2694.252,0.073
2695.178,0.0729
2696.109,0.0296
2697.031,0.0728
2697.957,0.0728
2698.694,0.116
2699.42,0.2458
2699.952,0.4623
2700.118,0.6354
2700.465,0.8518
2700.626,1.0683
2700.787,1.2847
2700.948,1.5012
2701.109,1.7176
2701.675,1.631
2702.045,1.631
2702.392,1.8474
2702.553,2.0638
2702.714,2.2803
2702.885,2.4101
2703.095,2.1937
2703.119,1.9772
2703.323,1.8041
2703.533,1.5876
2703.557,1.3711
2703.766,1.1547
2703.975,0.9382
2703.999,0.7218
2704.209,0.5053
2704.418,0.2888
2704.813,0.0724
2705.739,0.0723
2706.665,0.0723
2707.592,0.0722
2708.518,0.0721
2709.445,0.0721
2710.371,0.072
2711.297,0.072
2712.224,0.0719
2713.15,0.0719
2714.077,0.0718
2715.003,0.0718
2715.929,0.0717
2716.856,0.0716
2717.782,0.0716
2718.709,0.0715
2719.635,0.0715
2720.381,0.0281
2721.307,0.0281
2722.234,0.028
2723.155,0.0713
2723.697,0.2011
2724.229,0.4175
2724.395,0.5907
2724.741,0.8071
2724.902,1.0235
2725.039,1.4564
2725.064,1.24
2725.201,1.6729
2725.362,1.8893
2725.499,2.3222
2725.523,2.1058
2725.846,2.5386
2726.226,2.452
2726.62,2.2356
2726.762,2.6252
2726.786,2.4087
2726.924,2.8416
2727.085,3.0581
2727.222,3.4909
2727.246,3.2745
2727.578,3.6208
2727.602,3.4043
2727.811,3.1879
2727.836,2.9714
2728.045,2.755
2728.069,2.5385
2728.093,2.3221
2728.302,2.1056
2728.326,1.8891
2728.536,1.6727
2728.56,1.4562
2728.584,1.2398
2728.793,1.0233
2728.817,0.8069
2729.022,0.6337
2729.046,0.4172
2729.441,0.2008
2730.011,0.0709
2730.937,0.0708
2731.864,0.0708
2732.79,0.0707
2733.716,0.0706
2734.643,0.0706
2735.569,0.0705
2736.496,0.0705
2737.422,0.0704
2738.348,0.0704
2739.275,0.0703
2740.201,0.0703
2741.128,0.0702
2742.054,0.0701
2742.98,0.0701
2743.907,0.07
2744.833,0.07
2745.76,0.0699
2746.681,0.1132
2747.598,0.1997
2748.135,0.3728
2748.301,0.546
2748.647,0.7624
2748.808,0.9788
2748.945,1.4117
2748.97,1.1953
2749.083,1.8446
2749.107,1.6282
2749.22,2.2775
2749.244,2.0611
2749.381,2.494
2749.518,2.9268
2749.542,2.7104
2749.655,3.3597
2749.679,3.1433
2749.817,3.5762
2749.992,3.6628
2750.387,3.4463
2750.596,3.2298
2750.762,3.403
2750.923,3.6194
2751.061,4.0523
2751.085,3.8358
2751.198,4.4852
2751.222,4.2687
2751.335,4.9181
2751.359,4.7016
2751.496,5.1345
2751.501,5.0912
2751.71,4.8748
2751.734,4.6583
2751.944,4.4419
2751.968,4.2254
2751.992,4.009
2752.201,3.7925
2752.225,3.576
2752.249,3.3596
2752.459,3.1431
2752.483,2.9267
2752.507,2.7102
2752.716,2.4938
2752.74,2.2773
2752.764,2.0609
2752.788,1.8444
2752.998,1.6279
2753.022,1.4115
2753.046,1.195
2753.255,0.9786
2753.279,0.7621
2753.303,0.5457
2753.508,0.3725
2753.902,0.156
2754.653,0.0694
2755.579,0.0693
2756.506,0.0693
2757.432,0.0692
2758.359,0.0692
2759.285,0.0691
2760.211,0.0691
2761.138,0.069
2762.064,0.069
2762.991,0.0689
2763.917,0.0689
2764.844,0.0688
2765.77,0.0687
2766.696,0.0687
2767.623,0.0686
2768.549,0.0686
2769.476,0.0685
2770.397,0.1118
2771.124,0.2416
2771.66,0.4147
2771.822,0.6312
2771.983,0.8476
2772.31,1.2372
2772.329,1.064
2772.447,1.6701
2772.471,1.4536
2772.584,2.103
2772.608,1.8865
2772.722,2.5359
2772.746,2.3194
2772.859,2.9688
2772.883,2.7523
2772.996,3.4016
2773.02,3.1852
2773.109,4.051
