0.4336,1.598814,1.99705,1.67496,1.58803
0.524,0.33907,1.8409,1.60928,1.56514
0.6144,-0.16858,1.68384,1.53857,1.5341
0.7048,-0.49037,1.52546,1.46081,1.49516
0.7952,-0.69603,1.36499,1.37245,1.44869
0.8856,-0.838,1.20037,1.26655,1.39521
0.9761,-0.93818,0.91105,1.1287,1.3354
1.0665,-1.01465,0.73851,0.94939,1.27008
1.1569,-1.07384,0.57859,0.78693,1.20022
1.2473,-1.11102,0.42768,0.66613,1.12694
1.3377,-1.14042,0.28612,0.56946,1.05144
1.4281,-1.16337,0.15548,0.48622,0.97502
1.5186,-1.18059,0.0388,0.41196,0.899
1.609,-1.19341,-0.06102,0.34498,0.82467
1.6994,-1.20282,-0.14497,0.28456,0.75329
1.7898,-1.20934,-0.21547,0.23046,0.68601
1.8802,-1.21319,-0.27601,0.18278,0.62386
1.9706,-1.21439,-0.3311,0.14156,0.56769
2.0611,-1.21297,-0.38563,0.10588,0.51745
2.1515,-1.20933,-0.44004,0.07477,0.47245
2.2419,-1.204,-0.49218,0.04747,0.43203
2.3323,-1.19762,-0.54015,0.02331,0.39562
2.4227,-1.19086,-0.5825,0.00155,0.36265
2.5131,-1.18434,-0.61836,-0.01888,0.33263
2.6035,-1.1782,-0.64845,-0.0395,0.30513
2.694,-1.17227,-0.67441,-0.06036,0.27976
2.7844,-1.16643,-0.69745,-0.07945,0.25622
2.8748,-1.16053,-0.71862,-0.09502,0.23422
2.9652,-1.15443,-0.73917,-0.10789,0.21351
3.0556,-1.14806,-0.76079,-0.11916,0.19384
3.146,-1.14155,-0.78303,-0.12947,0.17499
3.2365,-1.13509,-0.80345,-0.13919,0.15688
3.3269,-1.12889,-0.82088,-0.14852,0.13954
3.4173,-1.12313,-0.83586,-0.15755,0.123
3.5077,-1.11796,-0.84908,-0.16632,0.10731
3.5981,-1.1133,-0.86091,-0.17485,0.0925
3.6885,-1.10894,-0.87161,-0.18316,0.07862
3.779,-1.10472,-0.88134,-0.19119,0.06568
3.8694,-1.10044,-0.89022,-0.19883,0.05361
3.9598,-1.09592,-0.89835,-0.20592,0.04227
4.0502,-1.09103,-0.90581,-0.2123,0.03153
4.1406,-1.08585,-0.91272,-0.21785,0.02126
4.231,-1.08054,-0.91915,-0.22246,0.01132
4.3215,-1.07527,-0.92517,-0.2261,0.00157
4.4119,-1.07021,-0.93082,-0.2289,-0.00804
4.5023,-1.06552,-0.93614,-0.23107,-0.01741
4.5927,-1.06127,-0.94114,-0.23283,-0.02647
4.6831,-1.05743,-0.94583,-0.23434,-0.03511
4.7735,-1.05397,-0.95024,-0.23578,-0.04325
4.8639,-1.05086,-0.95435,-0.2373,-0.05081
4.9544,-1.04809,-0.95816,-0.23905,-0.05771
5.0448,-1.04564,-0.96167,-0.24102,-0.06402
5.1352,-1.04345,-0.96487,-0.24312,-0.06987
5.2256,-1.04143,-0.96778,-0.24528,-0.07542
5.316,-1.0395,-0.97039,-0.24741,-0.08081
5.4064,-1.03756,-0.97273,-0.24943,-0.08618
5.4969,-1.03555,-0.97483,-0.25124,-0.0917
5.5873,-1.03344,-0.9767,-0.25278,-0.0975
5.6777,-1.0313,-0.97838,-0.25408,-0.10348
5.7681,-1.02922,-0.9799,-0.25524,-0.10951
5.8585,-1.02726,-0.98129,-0.25632,-0.1154
5.9489,-1.02549,-0.98258,-0.25742,-0.12099
6.0394,-1.02403,-0.98381,-0.25861,-0.12613
6.1298,-1.02288,-0.98498,-0.25997,-0.13071
6.2202,-1.022,-0.9861,-0.26148,-0.13478
6.3106,-1.02129,-0.98717,-0.26301,-0.13848
6.401,-1.02067,-0.98819,-0.26446,-0.14194
6.4914,-1.02003,-0.98915,-0.26571,-0.14529
6.5818,-1.01931,-0.99007,-0.26666,-0.14865
6.6723,-1.01851,-0.99093,-0.2672,-0.15211
6.7627,-1.01768,-0.99175,-0.26725,-0.15577
6.8531,-1.01684,-0.9925,-0.26689,-0.15959
6.9435,-1.016,-0.9932,-0.26626,-0.16348
7.0339,-1.0152,-0.99384,-0.26552,-0.16733
7.1243,-1.01443,-0.99442,-0.2648,-0.17104
7.2148,-1.01368,-0.99494,-0.26426,-0.17451
7.3052,-1.01293,-0.9954,-0.26409,-0.1776
7.3956,-1.01216,-0.9958,-0.26441,-0.18022
7.486,-1.01137,-0.99616,-0.26514,-0.18238
7.5764,-1.01054,-0.99648,-0.26613,-0.18415
7.6668,-1.00977,-0.99677,-0.26722,-0.18561
7.7573,-1.0091,-0.99703,-0.26825,-0.18683
7.8477,-1.00855,-0.99727,-0.2691,-0.18792
7.9381,-1.00811,-0.9975,-0.26965,-0.18895
8.0285,-1.00777,-0.99772,-0.2699,-0.18997
8.1189,-1.00751,-0.99793,-0.26994,-0.19101
8.2093,-1.00731,-0.99815,-0.26982,-0.1921
8.2998,-1.00714,-0.99835,-0.26959,-0.19326
8.3902,-1.007,-0.99855,-0.2693,-0.19453
8.4806,-1.00687,-0.99873,-0.26901,-0.19594
8.571,-1.00675,-0.99891,-0.26876,-0.19752
8.6614,-1.00664,-0.99908,-0.26853,-0.19924
8.7518,-1.00652,-0.99923,-0.26824,-0.20104
8.8422,-1.0064,-0.99936,-0.26782,-0.20282
8.9327,-1.00625,-0.99947,-0.26721,-0.20451
9.0231,-1.00606,-0.99957,-0.26638,-0.20604
9.1135,-1.00581,-0.99964,-0.26532,-0.20735
9.2039,-1.00549,-0.99969,-0.26409,-0.20844
9.2943,-1.00511,-0.99971,-0.26275,-0.20936
9.3847,-1.00471,-0.99972,-0.26138,-0.21015
9.4752,-1.0044,-0.99971,-0.26001,-0.21084
9.5656,-1.00425,-0.99968,-0.25873,-0.21147
9.656,-1.00423,-0.99964,-0.25762,-0.21207
9.7464,-1.0043,-0.99959,-0.25692,-0.21271
9.8368,-1.00442,-0.99954,-0.25715,-0.21349
9.9272,-1.00456,-0.99948,-0.25971,-0.21456
