0.3236 0.9574
0.35515 -0.7444
0.38669 -1.905
0.41824 -2.6282
0.44978 -3.0769
0.48133 -3.4176
0.51287 -3.7
0.54442 -3.9346
0.57597 -4.1128
0.60751 -4.2532
0.63906 -4.3686
0.6706 -4.4593
0.70215 -4.5262
0.73369 -4.5772
0.76524 -4.6186
0.79679 -4.6445
0.82833 -4.6341
0.85988 -4.5776
0.89142 -4.4862
0.92297 -4.3676
0.95452 -4.2254
0.98606 -4.0703
1.01761 -3.9049
1.04915 -3.7318
1.0807 -3.5732
1.11224 -3.4109
1.14379 -3.23
1.17534 -3.0566
1.20688 -2.899
1.23843 -2.7442
1.26997 -2.5951
1.30152 -2.4586
1.33306 -2.3253
1.36461 -2.1875
1.39616 -2.0576
1.4277 -1.9443
1.45925 -1.8351
1.49079 -1.7211
1.52234 -1.6125
1.55388 -1.5156
1.58543 -1.4244
1.61698 -1.3339
1.64852 -1.2479
1.68007 -1.1718
1.71161 -1.1036
1.74316 -1.0387
1.7747 -0.9753
1.80625 -0.9151
1.8378 -0.8593
1.86934 -0.8079
1.90089 -0.7618
1.93243 -0.7207
1.96398 -0.6834
1.99552 -0.6492
2.02707 -0.6183
2.05862 -0.591
2.09016 -0.5651
2.12171 -0.5384
2.15325 -0.5113
2.1848 -0.4861
2.21634 -0.4644
2.24789 -0.4464
2.27944 -0.4316
2.31098 -0.4188
2.34253 -0.4062
2.37407 -0.393
0.44978 0.6717
0.48133 -0.508
0.51287 -1.2166
0.54442 -1.7842
0.57597 -2.2659
0.60751 -2.6006
0.63906 -2.9165
0.6706 -3.145
0.70215 -3.3272
0.73369 -3.4889
0.76524 -3.6141
0.79679 -3.699
0.82833 -3.7551
0.85988 -3.8005
0.89142 -3.8087
0.92297 -3.7448
0.95452 -3.6527
0.98606 -3.5585
1.01761 -3.4552
1.04915 -3.3363
1.0807 -3.207
1.11224 -3.0811
1.14379 -2.9611
1.17534 -2.8302
1.20688 -2.6941
1.23843 -2.5606
1.26997 -2.4286
1.30152 -2.3003
1.33306 -2.1831
1.36461 -2.0502
1.39616 -1.9296
1.4277 -1.8108
1.45925 -1.6627
1.49079 -1.5257
1.52234 -1.3984
1.55388 -1.2897
1.58543 -1.1946
1.61698 -1.1052
1.64852 -1.0327
1.68007 -0.9656
1.71161 -0.8938
1.74316 -0.8307
1.7747 -0.7748
1.80625 -0.7233
1.8378 -0.6833
1.86934 -0.6492
1.90089 -0.6102
1.93243 -0.571
1.96398 -0.5353
1.99552 -0.5031
2.02707 -0.4716
2.05862 -0.4402
2.09016 -0.4118
2.12171 -0.3859
2.15325 -0.3631
2.1848 -0.3472
2.21634 -0.3314
2.24789 -0.3092
2.27944 -0.2973
2.31098 -0.2898
0.54442 -0.619
0.57597 -1.17
0.60751 -1.6161
0.63906 -1.9623
0.6706 -2.2702
0.70215 -2.5373
0.73369 -2.764
0.76524 -2.9501
0.79679 -3.1002
0.82833 -3.2201
0.85988 -3.2975
0.89142 -3.3076
0.92297 -3.251
0.95452 -3.1617
0.98606 -3.0671
1.01761 -2.9638
1.04915 -2.8427
1.0807 -2.7114
1.11224 -2.5816
1.14379 -2.4568
1.17534 -2.3382
1.20688 -2.2222
1.23843 -2.1065
1.26997 -1.9951
1.30152 -1.8922
1.33306 -1.7984
1.36461 -1.7114
1.39616 -1.6248
1.4277 -1.5329
1.45925 -1.4411
1.49079 -1.3602
1.52234 -1.2862
1.55388 -1.2084
1.58543 -1.1275
1.61698 -1.0549
1.64852 -0.9877
1.68007 -0.9143
1.71161 -0.8466
1.74316 -0.7835
1.7747 -0.7234
1.80625 -0.6662
1.8378 -0.6134
1.86934 -0.5673
1.90089 -0.5261
1.93243 -0.4855
1.96398 -0.4465
1.99552 -0.4106
2.02707 -0.3781
2.05862 -0.349
2.09016 -0.3224
2.12171 -0.2969
2.15325 -0.273
2.1848 -0.2553
2.21634 -0.248
2.24789 -0.2489
0.48133 2.6959
0.51287 1.3462
0.54442 0.4764
0.57597 -0.3024
0.60751 -0.8338
0.63906 -1.2685
0.6706 -1.616
0.70215 -1.88
0.73369 -2.0783
0.76524 -2.2166
0.79679 -2.3321
0.82833 -2.3834
0.85988 -2.4046
0.89142 -2.3979
0.92297 -2.3754
0.95452 -2.3132
0.98606 -2.2262
1.01761 -2.1349
1.04915 -2.0019
1.0807 -1.8541
1.11224 -1.6839
1.14379 -1.504
1.17534 -1.2818
1.20688 -1.0541
1.23843 -0.7907
1.26997 -0.5574
1.30152 -0.331
1.33306 -0.0963
1.36461 0.1066
1.39616 0.3093
1.4277 0.4959
1.45925 0.7182
1.49079 0.9068
1.52234 1.104
1.55388 1.2837
1.58543 1.4775
1.61698 1.6545
1.64852 1.8326
1.68007 1.992
1.71161 2.1634
1.74316 2.3523
1.7747 2.5081
1.80625 2.6721
1.8378 2.8166
1.86934 2.9539
1.90089 3.1058
1.93243 3.2541
1.96398 3.3941
1.99552 3.518
2.02707 3.6451
2.05862 3.7577
2.09016 3.8674
2.12171 3.9654
2.15325 4.0529
2.1848 4.1482
2.21634 4.2164
2.24789 4.2739
